CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Countries_code,Phone,Fax,SORTORDER
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,NULL,12209,DE,030-0074321,030-0076545,1
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,NULL,05021,MX,(5) 555-4729,(5) 555-3745,2
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos 2312,México D.F.,NULL,05023,MX,(5) 555-3932,NULL,3
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,NULL,WA1 1DP,GB,(020) 7555-7788,(020) 7555-6750,4
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen 8,Luleå,NULL,S-958 22,SE,0921-12 34 65,0921-12 34 67,5
BLONP,Blondel père et fils,Frédérique Citeaux,Marketing Manager,24, place Kléber,Strasbourg,NULL,67000,FR,88.60.15.31 88.60.15.32,6
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,C/ Araquil, 67,Madrid,NULL,28023,ES,"(91) 555 22 82,(91) 555 91 99",7
BONAP,Bon app',Laurence Lebihan,Owner,12, rue des Bouchers,Marseille,NULL,13008,FR,"91.24.45.40,91.24.45.41",8
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8A4,CA,(604) 555-4729,(604) 555-3745,9
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,NULL,EC2 5NT,GB,(020) 7555-1212,NULL,10
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,NULL,1010,AR,(1) 135-5555,(1) 135-4892,11
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,NULL,05022,MX,(5) 555-3392,(5) 555-7293,12
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,NULL,3012,CH,0452-076545,NULL,13
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,Av. dos Lusíadas, 23,São Paulo SP,05432-043,BR,(11) 555-7647,NULL,13
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12 Brewery,London,NULL,WX1 6LT,GB,(020) 7555-2282,NULL,14
